company_id,company_name,year,quarter,report_type,revenue_q,revenue_q_prev,revenue_yoy,gross_profit_q,gross_profit_q_prev,gross_profit_yoy,operating_income_q,operating_income_q_prev,operating_income_yoy,net_income_q,net_income_q_prev,net_income_yoy,eps_q,eps_q_prev,eps_change_q,revenue_ytd,revenue_ytd_prev,revenue_ytd_yoy,gross_profit_ytd,gross_profit_ytd_prev,gross_profit_ytd_yoy,operating_income_ytd,operating_income_ytd_prev,operating_income_ytd_yoy,net_income_ytd,net_income_ytd_prev,net_income_ytd_yoy,eps_ytd,eps_ytd_prev,eps_change_ytd,total_assets_q,total_assets_q_prev,total_liabilities_q,total_liabilities_q_prev,debt_ratio_q,debt_ratio_q_prev,debt_ratio_yoy_change,gross_margin_q,gross_margin_q_prev,gross_margin_yoy_change,operating_margin_q,operating_margin_q_prev,operating_margin_yoy_change,net_margin_q,net_margin_q_prev,net_margin_yoy_change
3708,上緯國際投資控股股份有限公司,2025,3,合併,152.93,360.85,-57.62,7.53,88.22,-91.46,-94.31,-22.31,-322.73,42.48,50.07,-15.16,0.39,0.46,-0.07,752.97,1035.73,-27.3,90.32,224.96,-59.85,-217.54,-99.71,-118.17,57.11,203.9,-71.99,0.53,1.98,-1.45,18354.0,14183.24,6078.6,4614.32,33.12,32.53,0.59,4.93,24.45,-19.52,-61.67,-6.18,-55.49,27.78,13.88,13.9
3711,日月光投資控股股份有限公司,2025,3,合併,168568.89,160105.11,5.29,28876.74,26425.71,9.28,13200.7,11470.03,15.09,10869.76,9732.54,11.68,2.5,2.25,0.25,467472.47,433146.02,7.92,79457.0,70301.11,13.02,33065.08,27955.84,18.28,25944.68,23170.41,11.97,5.99,5.37,0.62,842643.94,714726.08,503091.52,383615.96,59.7,53.67,6.03,17.13,16.51,0.62,7.83,7.16,0.67,6.45,6.08,0.37
3712,永崴投資控股股份有限公司,2025,3,合併,10406.41,5335.47,95.04,-8483.65,1038.15,-917.19,-8909.2,603.89,-1575.3,-3056.11,387.01,-889.67,-12.41,1.57,-13.98,25887.35,15099.24,71.45,-12936.75,2363.7,-647.31,-14327.26,1106.32,-1395.04,-4870.58,821.9,-692.6,-19.78,3.34,-23.12,68044.22,61724.14,60329.38,42653.43,88.66,69.1,19.56,-81.52,19.46,-100.98,-85.61,11.32,-96.93,-29.37,7.25,-36.62
3714,富采投資控股股份有限公司,2025,3,合併,5602.99,6691.4,-16.27,320.45,1104.05,-70.98,-857.78,-123.5,-594.56,-613.23,7.49,-8287.32,-0.83,0.01,-0.84,16975.08,18880.62,-10.09,1402.39,2801.9,-49.95,-2168.54,-909.73,-138.37,-1933.32,-762.0,-153.72,-2.62,-1.02,-1.6,52268.41,58695.17,9103.49,12421.86,17.42,21.16,-3.74,5.72,16.5,-10.78,-15.31,-1.85,-13.46,-10.94,0.11,-11.05
3715,定穎投資控股股份有限公司,2025,3,合併,4840.28,4747.79,1.95,938.62,1131.6,-17.05,330.09,455.93,-27.6,141.56,257.42,-45.01,0.51,0.93,-0.42,14025.12,13146.79,6.68,2797.7,3237.08,-13.57,974.15,1397.63,-30.3,665.73,880.22,-24.37,2.4,3.17,-0.77,32850.01,28065.99,24914.59,20141.65,75.84,71.77,4.07,19.39,23.83,-4.44,6.82,9.6,-2.78,2.92,5.42,-2.5
3716,中化控股股份有限公司,2025,3,合併,2061.63,2159.57,-4.54,790.68,823.3,-3.96,90.55,81.02,11.76,70.6,73.51,-3.96,0.56,0.49,0.07,6424.29,6659.32,-3.53,2492.82,2516.1,-0.93,344.41,276.88,24.39,235.93,259.6,-9.12,1.87,1.75,0.12,12371.84,12525.17,4891.79,5014.96,39.54,40.04,-0.5,38.35,38.12,0.23,4.39,3.75,0.64,3.42,3.4,0.02
3717,聯嘉光電投資控股股份有限公司,2025,3,合併,1450.47,1404.57,3.27,181.68,208.75,-12.97,-29.49,26.59,-210.91,19.23,1.05,1731.43,0.09,0.01,0.08,4222.73,4204.79,0.43,589.44,643.54,-8.41,-7.92,50.68,-115.63,-59.71,75.78,-178.79,-0.29,0.37,-0.66,7656.1,7187.43,4545.21,3915.45,59.37,54.48,4.89,12.53,14.86,-2.33,-2.03,1.89,-3.92,1.33,0.08,1.25
4104,佳醫健康事業股份有限公司,2025,3,合併,2191.7,2059.16,6.44,457.8,439.56,4.15,179.57,188.15,-4.56,186.92,173.55,7.7,1.09,1.01,0.08,6508.68,6260.71,3.96,1381.09,1271.51,8.62,561.03,527.16,6.42,611.98,579.11,5.68,3.57,3.38,0.19,18802.89,21943.84,7486.77,10878.4,39.82,49.57,-9.75,20.89,21.35,-0.46,8.19,9.14,-0.95,8.53,8.43,0.1
4106,雃博股份有限公司,2025,3,合併,619.09,541.95,14.23,289.16,234.46,23.33,55.68,1.81,2976.24,46.71,7.78,500.39,0.46,0.08,0.38,1779.85,1772.99,0.39,822.85,793.15,3.74,116.89,79.3,47.4,92.52,69.04,34.01,0.92,0.68,0.24,3178.21,3176.33,729.71,763.76,22.96,24.05,-1.09,46.71,43.26,3.45,8.99,0.33,8.66,7.54,1.44,6.1
4108,懷特生技新藥股份有限公司,2025,3,合併,39.86,39.82,0.1,15.67,15.59,0.51,-50.17,-54.31,7.62,-4.72,-11.08,57.4,-0.02,-0.06,0.04,101.43,116.53,-12.96,35.23,45.75,-22.99,-132.44,-130.59,-1.42,-41.16,-54.9,25.03,-0.21,-0.28,0.07,2337.66,2461.78,63.54,63.91,2.72,2.6,0.12,39.32,39.14,0.18,-125.87,-136.41,10.54,-11.83,-27.82,15.99
